Gene,P_Value
ATP5F1A,0.36308028368659406
C2,0.3798278583747943
MMP2,0.38031494357412954
PKM,0.3839898675178032
CD99L2,0.38563280715021275
SELENBP1,0.3863137391590845
FAT2,0.39119794389970275
QPCT,0.39168312353737955
CHL1,0.3970407177824779
PEBP1,0.3972736001963237
NPC2,0.3973916981831693
CP,0.3991089195427194
EXTL2,0.40058291415647956
PRELP,0.4033285086425368
FBLN1,0.40489643789407254
SCG5,0.40638152816798784
LDHA,0.4070505970011797
LYZ,0.4078983131530596
ORM1,0.41630575734641934
SPP1,0.41840794029691286
SCG2,0.41852491036678274
PTGDS,0.41932090643052156
HBA2,0.42100433391089737
VSTM2A,0.4221766105286746
H2BC12,0.42475467911876563
NRXN3,0.4251927149797954
C4A,0.4261942790315761
PCOLCE,0.4279591059972322
EZR,0.42913126664565654
CDH2,0.4316874040623302
CPB2,0.4336897897236235
PPIB,0.43872605527724595
HRG,0.43894078949057613
NEGR1,0.44113082389188707
SERPINA1,0.44269847643019267
DKK3,0.4440351818396887
ISLR,0.44821780563130154
PEBP4,0.4504959584120754
PRCP,0.4552551504967993
B4GAT1,0.4606214957334921
DBI,0.46856791483800747
TPI1,0.469020298559576
ALDOA,0.4695693779434632
CLSTN1,0.4719678836949424
VTN,0.4752158850979571
GAPDH,0.47953654234644333
C1QC,0.48197468493606627
HSPA5,0.48830915878760023
NME2,0.48875270583211844
IGHG1,0.4913756647836932
IGLV2-8,0.49461158237349023
IGLV7-46,0.4978275206095817
OGN,0.5007841106316318
PAM,0.5064214646836798
A1BG,0.5082958907192576
C6,0.5094395645887879
CLEC3B,0.509943276889395
VGF,0.5129928325947981
BTD,0.5198029910999642
SERPINF2,0.5246773426845205
MYH4,0.5294982642689361
CTSZ,0.5367147975263724
CYCS,0.5379312091944958
SERPING1,0.540699122309835
IGKC,0.5437405012337326
SERPINC1,0.5454958764094391
PTPRS,0.5481547335529365
C8B,0.5501672935681543
ATRN,0.5515133486458321
IGKV4-1,0.5538934199167709
MEGF8,0.554645597060362
SPARC,0.5553790704486705
SULF2,0.5556413489663602
CTSL,0.5595337867534347
IGLV1-47,0.5621149876040825
GOT1,0.5639487586275281
COL6A1,0.5654660541969281
FGG,0.5654950875854383
PTPRD,0.5777948732725472
CADM1,0.5795104717291747
NPTX1,0.5899869427282953
PROS1,0.5913100747298694
C5,0.6006561685162439
CFH,0.6017416016288586
CDH13,0.6022470235801267
HSPE1,0.6081042013048317
ALB,0.6224381123440725
CACNA2D1,0.6225460997424512
PPIA,0.6226027405421489
EEF1A1,0.6226266850213928
YWHAZ,0.6282887594017377
SEZ6L,0.6417657813143762
C8A,0.6477444496441447
SEMA7A,0.6546354999094723
MCAM,0.655640117954009
KRT19,0.6570174205672366
C1QB,0.6579748534369543
TUBB,0.6647428985974473
,0.6648570361886246
HSPA8,0.665163374896486
CD44,0.6706190813554754
KLK6,0.6745127737829558
APOC2,0.6769806945334145
RARRES2,0.677813283451455
SERPINA6,0.6791232738540738
SERPINA3,0.680906048750149
C1QA,0.6886009548227041
DAG1,0.6926670278004867
HPX,0.6961482814496307
ATP6AP1,0.7069015009820483
PLG,0.7098137494143684
FGFR2,0.7099715868300299
IGHA1,0.7104077156369459
ITIH5,0.7109698182844648
F12,0.7131030706605694
SPARCL1,0.7272401443757857
CNTNAP4,0.7289147840088454
HSP90AA1,0.7333849778889541
IGFBP6,0.7372285314766504
APLP2,0.7431129074654867
AZGP1,0.74881260372477
IGHV6-1,0.7497261393772263
KRT18,0.7530342816561757
IGHV3-30,0.7554638292282816
IGLV1-51,0.7566604538487961
HSP90AB1,0.7598481294741382
AFM,0.7644174478228133
ECM1,0.7691347745495477
LSAMP,0.7876252631521892
RNASET2,0.7895675095370868
C1S,0.7923652529326146
IGHV5-51,0.794733861312573
NTM,0.7976472398815313
OMG,0.7982361852140768
CNTN1,0.7996074034811697
TGFBI,0.8034948653902727
FGB,0.8049791163879787
F2,0.8066693492366517
TIMP1,0.8099520958089365
IGFBP7,0.8113747562115626
HP,0.8136522627606262
APP,0.8142718575875834
GGH,0.8172536605886342
CHGA,0.817759140067212
ACTB,0.827072338908134
IGHV3-49,0.8281412475408059
SERPIND1,0.8296785078295428
APLP1,0.8297769991640358
H4C1,0.8313756268909379
HSPD1,0.8442296052737779
IGFBP2,0.8451333182947797
FSTL1,0.8463154277298678
CD14,0.8491466727933327
SOD1,0.8583592613543849
RBP4,0.8639065736458215
NCAN,0.8665027997884301
NELL2,0.86674185124391
CSF1R,0.8677517827766259
ICOSLG,0.8711275111945462
ATP2A1,0.8739813519642428
PLXDC2,0.8753400113734
APOE,0.8792678134489452
EPHA4,0.8796422175654491
MYH1,0.8904108982759218
LDHB,0.8919547767655398
KRT8,0.899946299371774
NEO1,0.9035410404156965
AGT,0.9036332573329673
APOA4,0.9079092455060406
LAMP2,0.9126322095226036
NCAM2,0.9138354695483621
C7,0.9255387214009931
C9,0.9288336392390855
IGKV3D-11,0.9303389593219136
IGKV2-28,0.9311756121104855
ORM2,0.9445580287075839
EEF2,0.9472969316243904
TGOLN2,0.9491409263959512
COL1A1,0.9543906766901307
IGHG2,0.9562175201698955
H3C1,0.9612661865532146
LGALS3BP,0.9636290488132314
PTPRZ1,0.9648022573820748
IGKV3-20,0.9708535315780391
CADM4,0.9721405304672447
FGA,0.9732986118467283
NCAM1,0.9756126116895268
SELENOP,0.976229696635337
GPX3,0.9811099187520482
NPTXR,0.9827188700454281
ART3,0.9847956223040913
APOC3,0.9848937095284058
BCAN,0.9855668818720256
GC,0.9900699731844278
PENK,0.99509358685325
PRDX1,0.9951883864375626
